Frame,Cumulative Count
0,31
1,31
2,32
3,32
4,32
5,32
6,32
7,32
8,32
9,32
10,31
11,31
12,30
13,30
14,29
15,30
16,30
17,30
18,30
19,30
20,29
21,28
22,28
23,27
24,27
25,27
26,27
27,27
28,27
29,27
30,27
31,26
32,26
33,27
34,27
35,26
36,25
37,24
38,24
39,25
40,25
41,25
42,25
43,25
44,25
45,24
46,24
47,24
48,24
49,22
50,22
51,22
52,21
53,20
54,20
55,20
56,19
57,19
58,19
59,19
60,19
61,18
62,18
63,18
64,18
65,18
66,18
67,18
68,17
69,17
70,17
71,17
72,17
73,18
74,18
75,18
76,18
77,18
78,18
79,18
80,18
81,18
82,18
83,18
84,18
85,18
86,18
87,17
88,17
89,16
90,16
91,16
92,16
93,16
94,16
95,16
